Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1770733704736,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.67273712158203,66.88056182861328,72.16981506347656,71.83219909667969,72.86890411376953,72.25675201416016,67.46095275878906,69.19064331054688,68.76904296875,67.90374755859375,10,10,75,71.42857360839844,75,68.42105102539063,55,36.842105865478516,23.809524536132813,4.761904716491699,23.189085006713867,17179869184,12884901888,13682950144,11815026688
200,1770733704941,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.67273712158203,66.88056182861328,72.16981506347656,71.83219909667969,72.86890411376953,72.25675201416016,67.46095275878906,69.19064331054688,68.76904296875,67.90374755859375,5,9.523809432983398,75,78.94737243652344,66.66667175292969,70,52.38095474243164,45,30.000001907348633,10,23.189085006713867,17179869184,12884901888,13693337600,11815026688
201,1770733705141,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.40267944335938,67.61006927490234,73.12016296386719,73.12769317626953,74.30784606933594,73.8274154663086,68.496826171875,70.17852783203125,70.02806091308594,69.57786560058594,20,15.789472579956055,78.94737243652344,76.19047546386719,73.68421173095703,70,57.894737243652344,38.095237731933594,20,5.263157844543457,23.189085006713867,17179869184,12884901888,13676675072,11815026688
204,1770733705343,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.40267944335938,67.61006927490234,73.12016296386719,73.12769317626953,74.30784606933594,73.8274154663086,68.496826171875,70.17852783203125,70.02806091308594,69.57786560058594,20,23.809524536132813,76.19047546386719,73.68421173095703,75,70,55,45,30.000001907348633,5,23.189085006713867,17179869184,12884901888,13678854144,11815026688
202,1770733705547,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.40267944335938,67.61006927490234,73.12016296386719,73.12769317626953,74.30784606933594,73.8274154663086,68.496826171875,70.17852783203125,70.02806091308594,69.57786560058594,61.904762268066406,60.000003814697266,80,75,73.68421173095703,70,57.894737243652344,44.4444465637207,26.3157901763916,19.047618865966797,25.748220443725586,17179869184,12884901888,13666992128,11815026688
202,1770733705749,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.40267944335938,67.61006927490234,73.12016296386719,73.12769317626953,74.30784606933594,73.8274154663086,68.496826171875,70.17852783203125,70.02806091308594,69.57786560058594,63.15789031982422,60.000003814697266,80,84.21052551269531,75,75,65,38.095237731933594,30.000001907348633,31.57894515991211,25.748220443725586,17179869184,12884901888,13647577088,11815026688
204,1770733705952,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.40267944335938,67.61006927490234,73.12016296386719,73.12769317626953,74.30784606933594,73.8274154663086,68.496826171875,70.17852783203125,70.02806091308594,69.57786560058594,61.904762268066406,60.000003814697266,89.47368621826172,85,90.47618865966797,85,80,73.68421173095703,66.66667175292969,55,25.748220443725586,17179869184,12884901888,13631569920,11815026688
201,1770733706157,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.99400329589844,67.6775131225586,72.49150848388672,72.60273742675781,73.42103576660156,73.12516021728516,68.23231506347656,69.77421569824219,69.61593627929688,69.6971206665039,5,10,75,75,70,73.68421173095703,55,45.45454788208008,31.57894515991211,14.285715103149414,25.748220443725586,17179869184,12884901888,13627490304,11815026688
203,1770733706359,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.99400329589844,67.6775131225586,72.49150848388672,72.60273742675781,73.42103576660156,73.12516021728516,68.23231506347656,69.77421569824219,69.61593627929688,69.6971206665039,31.57894515991211,25,78.94737243652344,70,68.42105102539063,65,57.142860412597656,42.105262756347656,28.571430206298828,5,25.748220443725586,17179869184,12884901888,13624885248,11815026688
204,1770733706562,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.99400329589844,67.6775131225586,72.49150848388672,72.60273742675781,73.42103576660156,73.12516021728516,68.23231506347656,69.77421569824219,69.61593627929688,69.6971206665039,54.54545593261719,52.38095474243164,76.19047546386719,75,70,70,52.6315803527832,40,21.052631378173828,0,23.70720100402832,17179869184,12884901888,13628080128,11815026688
200,1770733706767,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.99400329589844,67.6775131225586,72.49150848388672,72.60273742675781,73.42103576660156,73.12516021728516,68.23231506347656,69.77421569824219,69.61593627929688,69.6971206665039,21.052631378173828,30.000001907348633,80,75,73.68421173095703,70,55,45,33.333335876464844,19.047618865966797,23.70720100402832,17179869184,12884901888,13630947328,11815026688
199,1770733706968,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.99400329589844,67.6775131225586,72.49150848388672,72.60273742675781,73.42103576660156,73.12516021728516,68.23231506347656,69.77421569824219,69.61593627929688,69.6971206665039,10,5,73.68421173095703,73.68421173095703,70,73.68421173095703,52.6315803527832,35,21.052631378173828,5.263157844543457,23.70720100402832,17179869184,12884901888,13632389120,11815026688
200,1770733707168,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.0644760131836,67.3944091796875,72.52613830566406,72.80485534667969,73.0688705444336,72.64895629882813,67.60882568359375,69.2968521118164,68.98765563964844,68.2922592163086,5.263157844543457,15.000000953674316,80,75,70,70,55,47.36842346191406,25,15.000000953674316,23.70720100402832,17179869184,12884901888,13632389120,11815026688
203,1770733707369,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.0644760131836,67.3944091796875,72.52613830566406,72.80485534667969,73.0688705444336,72.64895629882813,67.60882568359375,69.2968521118164,68.98765563964844,68.2922592163086,28.571430206298828,26.3157901763916,75,75,68.42105102539063,63.15789031982422,57.142860412597656,31.57894515991211,20,19.047618865966797,23.70720100402832,17179869184,12884901888,13629980672,11815026688
204,1770733707572,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.0644760131836,67.3944091796875,72.52613830566406,72.80485534667969,73.0688705444336,72.64895629882813,67.60882568359375,69.2968521118164,68.98765563964844,68.2922592163086,25,33.333335876464844,75,75,70,65,57.894737243652344,38.095237731933594,20,10.526315689086914,25.621397018432617,17179869184,12884901888,13632700416,11815026688
204,1770733707777,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.0644760131836,67.3944091796875,72.52613830566406,72.80485534667969,73.0688705444336,72.64895629882813,67.60882568359375,69.2968521118164,68.98765563964844,68.2922592163086,10,10,75,73.68421173095703,71.42857360839844,65,52.38095474243164,35,30.000001907348633,5,25.621397018432617,17179869184,12884901888,13636141056,11815026688
200,1770733707981,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.0644760131836,67.3944091796875,72.52613830566406,72.80485534667969,73.0688705444336,72.64895629882813,67.60882568359375,69.2968521118164,68.98765563964844,68.2922592163086,42.85714340209961,52.38095474243164,78.94737243652344,76.19047546386719,68.42105102539063,68.42105102539063,50,35,28.571430206298828,9.090909004211426,25.621397018432617,17179869184,12884901888,13630930944,11815026688
203,1770733708181,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.7564468383789,66.67089080810547,72.39598846435547,72.278564453125,73.20903778076172,72.34374237060547,67.06280517578125,68.94670104980469,68.56192016601563,68.38772583007813,15.789472579956055,15.789472579956055,75,72.22222137451172,68.42105102539063,65,57.142860412597656,36.842105865478516,21.052631378173828,10.526315689086914,25.621397018432617,17179869184,12884901888,13623820288,11815026688
203,1770733708385,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.7564468383789,66.67089080810547,72.39598846435547,72.278564453125,73.20903778076172,72.34374237060547,67.06280517578125,68.94670104980469,68.56192016601563,68.38772583007813,23.809524536132813,19.047618865966797,73.68421173095703,75,75,65,50,38.095237731933594,30.000001907348633,5,25.621397018432617,17179869184,12884901888,13622558720,11815026688
201,1770733708588,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.7564468383789,66.67089080810547,72.39598846435547,72.278564453125,73.20903778076172,72.34374237060547,67.06280517578125,68.94670104980469,68.56192016601563,68.38772583007813,5,5,76.19047546386719,71.42857360839844,70,66.66667175292969,52.6315803527832,36.842105865478516,30.000001907348633,5.263157844543457,23.462751388549805,17179869184,12884901888,13623246848,11815026688
202,1770733708790,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.7564468383789,66.67089080810547,72.39598846435547,72.278564453125,73.20903778076172,72.34374237060547,67.06280517578125,68.94670104980469,68.56192016601563,68.38772583007813,15.000000953674316,15.789472579956055,75,73.68421173095703,70,66.66667175292969,50,35,30.000001907348633,19.047618865966797,23.462751388549805,17179869184,12884901888,13622067200,11815026688
201,1770733708993,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.7564468383789,66.67089080810547,72.39598846435547,72.278564453125,73.20903778076172,72.34374237060547,67.06280517578125,68.94670104980469,68.56192016601563,68.38772583007813,5,9.523809432983398,78.94737243652344,75,75,65,45,35,28.571430206298828,10,23.462751388549805,17179869184,12884901888,13615628288,11815026688
199,1770733709195,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.46331024169922,66.77915954589844,72.305908203125,71.85017395019531,73.2271728515625,72.50660705566406,67.33853149414063,68.7838134765625,68.66738891601563,67.83495330810547,33.333335876464844,21.052631378173828,75,80,70,68.42105102539063,61.904762268066406,45,31.57894515991211,10.526315689086914,23.462751388549805,17179869184,12884901888,13626441728,11815026688
200,1770733709395,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.46331024169922,66.77915954589844,72.305908203125,71.85017395019531,73.2271728515625,72.50660705566406,67.33853149414063,68.7838134765625,68.66738891601563,67.83495330810547,10,14.285715103149414,73.68421173095703,75,72.22222137451172,66.66667175292969,55.55555725097656,35,25,14.285715103149414,23.462751388549805,17179869184,12884901888,13608157184,11815026688
202,1770733709596,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.46331024169922,66.77915954589844,72.305908203125,71.85017395019531,73.2271728515625,72.50660705566406,67.33853149414063,68.7838134765625,68.66738891601563,67.83495330810547,15.789472579956055,10.526315689086914,78.94737243652344,75,71.42857360839844,73.68421173095703,60.000003814697266,35,25,5.263157844543457,23.14386558532715,17179869184,12884901888,13606567936,11815026688
204,1770733709799,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.46331024169922,66.77915954589844,72.305908203125,71.85017395019531,73.2271728515625,72.50660705566406,67.33853149414063,68.7838134765625,68.66738891601563,67.83495330810547,10,14.285715103149414,76.19047546386719,73.68421173095703,73.68421173095703,68.42105102539063,50,36.842105865478516,28.571430206298828,5,23.14386558532715,17179869184,12884901888,13609172992,11815026688
