Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1770733644722,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.02732849121094,71.95199584960938,75.28487396240234,75.67295837402344,77.67628479003906,77.39720916748047,72.88041687011719,74.93138122558594,76.98145294189453,77.17723083496094,100,100,100,100,100,100,100,100,100,100,26.117965698242188,17179869184,12884901888,13502709760,11890524160
203,1770733644925,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.02732849121094,71.95199584960938,75.28487396240234,75.67295837402344,77.67628479003906,77.39720916748047,72.88041687011719,74.93138122558594,76.98145294189453,77.17723083496094,100,100,100,100,100,100,100,100,100,100,26.117965698242188,17179869184,12884901888,13502709760,11890524160
201,1770733645130,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.26239776611328,71.71070098876953,74.68631744384766,75.08183288574219,76.9215087890625,77.01294708251953,72.57423400878906,74.44969177246094,76.81575012207031,76.83194732666016,100,100,100,100,100,100,100,100,100,100,26.117965698242188,17179869184,12884901888,13502709760,11890524160
204,1770733645332,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.26239776611328,71.71070098876953,74.68631744384766,75.08183288574219,76.9215087890625,77.01294708251953,72.57423400878906,74.44969177246094,76.81575012207031,76.83194732666016,100,100,100,100,100,100,100,100,100,100,26.117965698242188,17179869184,12884901888,13502709760,11890524160
200,1770733645536,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.26239776611328,71.71070098876953,74.68631744384766,75.08183288574219,76.9215087890625,77.01294708251953,72.57423400878906,74.44969177246094,76.81575012207031,76.83194732666016,100,100,100,100,100,100,100,100,100,100,24.660221099853516,17179869184,12884901888,13490814976,11890524160
205,1770733645737,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.26239776611328,71.71070098876953,74.68631744384766,75.08183288574219,76.9215087890625,77.01294708251953,72.57423400878906,74.44969177246094,76.81575012207031,76.83194732666016,100,100,100,100,100,100,100,100,100,100,24.660221099853516,17179869184,12884901888,13468008448,11890524160
203,1770733645943,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.26239776611328,71.71070098876953,74.68631744384766,75.08183288574219,76.9215087890625,77.01294708251953,72.57423400878906,74.44969177246094,76.81575012207031,76.83194732666016,100,100,100,100,100,100,100,100,100,100,24.660221099853516,17179869184,12884901888,13464584192,11890524160
203,1770733646146,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.31689453125,71.57540893554688,74.6144790649414,75.0445556640625,76.88573455810547,76.93440246582031,72.82640075683594,74.6280517578125,76.98221588134766,76.75193786621094,100,100,100,100,100,100,100,100,100,100,24.660221099853516,17179869184,12884901888,13462732800,11890524160
201,1770733646350,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.31689453125,71.57540893554688,74.6144790649414,75.0445556640625,76.88573455810547,76.93440246582031,72.82640075683594,74.6280517578125,76.98221588134766,76.75193786621094,100,100,100,100,100,100,100,100,100,100,24.660221099853516,17179869184,12884901888,13464125440,11890524160
204,1770733646551,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.31689453125,71.57540893554688,74.6144790649414,75.0445556640625,76.88573455810547,76.93440246582031,72.82640075683594,74.6280517578125,76.98221588134766,76.75193786621094,100,100,100,100,100,100,100,100,100,100,25.03067970275879,17179869184,12884901888,13465468928,11890524160
